"numb","symb","name","mass","rcov","rvdw","rion","color","red","green","blue","period","group","type","phase","crystal","Eneg","IP","density","melting","boiling","isotopes","discoverer","year","C","config","row","col"
0,"Xx","Dummy",0,0.1,0,0,"#1280B3",0.07,0.5,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,"H","Hydrogen",1.00794,0.31,1.1,0.012,"#FFFFFF",1,1,1,1,1,"Nonmetal","gas","",2.2,13.5984,8.988e-05,14.175,20.28,3,"Cavendish",1766,14.304,"1s1",1,1
2,"He","Helium",4.002602,0.28,1.4,NA,"#D9FFFF",0.85,1,1,1,18,"Noble Gas","gas","",NA,24.5874,0.0001785,NA,4.22,5,"Janssen",1868,5.193,"1s2",1,18
3,"Li","Lithium",6.941,1.28,1.81,0.76,"#CC80FF",0.8,0.5,1,2,1,"Alkali Metal","solid","bcc",0.98,5.3917,0.534,453.85,1615,5,"Arfvedson",1817,3.582,"[He] 2s1",2,1
4,"Be","Beryllium",9.012182,0.96,1.53,0.35,"#C2FF00",0.76,1,0,2,2,"Alkaline Earth Metal","solid","hex",1.57,9.3227,1.85,1560.15,2742,6,"Vaulquelin",1798,1.825,"[He] 2s2",2,2
5,"B","Boron",10.811,0.84,1.92,0.23,"#FFB5B5",1,0.71,0.71,2,13,"Metalloid","solid","rho",2.04,8.298,2.34,2573.15,4200,6,"Gay-Lussac",1808,1.026,"[He] 2s2 2p1",2,13
6,"C","Carbon",12.0107,0.76,1.7,NA,"#808080",0.5,0.5,0.5,2,14,"Nonmetal","solid","hex",2.55,11.2603,2.267,3948.15,4300,7,"Prehistoric",NA,0.709,"[He] 2s2 2p2",2,14
7,"N","Nitrogen",14.0067,0.71,1.55,0.13,"#0D0DFF",0.05,0.05,1,2,15,"Nonmetal","gas","",3.04,14.5341,0.0012506,63.29,77.36,8,"Rutherford",1772,1.04,"[He] 2s2 2p3",2,15
8,"O","Oxygen",15.9994,0.66,1.52,1.4,"#FF0D0D",1,0.05,0.05,2,16,"Nonmetal","gas","",3.44,13.6181,0.001429,50.5,90.2,8,"Priestley/Scheele",1774,0.918,"[He] 2s2 2p4",2,16
9,"F","Fluorine",18.998403,0.57,1.47,1.3,"#B3FFFF",0.7,1,1,2,17,"Halogen","gas","",3.98,17.4228,0.001696,53.63,85.03,6,"Moissan",1886,0.824,"[He] 2s2 2p5",2,17
10,"Ne","Neon",20.1797,0.58,1.54,NA,"#B3E3F5",0.7,0.89,0.96,2,18,"Noble Gas","gas","",NA,21.5645,0.0008999,24.703,27.07,8,"Ramsay and Travers",1898,1.03,"[He] 2s2 2p6",2,18
11,"Na","Sodium",22.98977,1.66,2.27,1,"#AB5CF2",0.67,0.36,0.95,3,1,"Alkali Metal","solid","bcc",0.93,5.1391,0.971,371.15,1156,7,"Davy",1807,1.228,"[Ne] 3s1",3,1
12,"Mg","Magnesium",24.305,1.41,1.73,0.72,"#8AFF00",0.54,1,0,3,2,"Alkaline Earth Metal","solid","hex",1.31,7.6462,1.738,923.15,1363,8,"Black",1755,1.023,"[Ne] 3s2",3,2
13,"Al","Aluminum",26.981538,1.21,1.84,0.54,"#BFA6A6",0.75,0.65,0.65,3,13,"Metal","solid","fcc",1.61,5.9858,2.698,933.4,2792,8,"Wehler",1827,0.897,"[Ne] 3s2 3p1",3,13
14,"Si","Silicon",28.0855,1.11,2.1,0.4,"#809999",0.5,0.6,0.6,3,14,"Metalloid","solid","fcc",1.9,8.1517,2.3296,1683.15,3538,8,"Berzelius",1824,0.705,"[Ne] 3s2 3p2",3,14
15,"P","Phosphorus",30.973761,1.07,1.8,0.38,"#FF8000",1,0.5,0,3,15,"Nonmetal","solid","cub",2.19,10.4867,1.82,317.25,553,7,"BranBrand",1669,0.769,"[Ne] 3s2 3p3",3,15
16,"S","Sulfur",32.065,1.05,1.8,0.37,"#FFFF30",1,1,0.19,3,16,"Nonmetal","solid","orth",2.58,10.36,2.067,388.51,717.8,10,"Prehistoric",NA,0.71,"[Ne] 3s2 3p4",3,16
17,"Cl","Chlorine",35.453,1.02,1.75,1.8,"#1FF01F",0.12,0.94,0.12,3,17,"Halogen","gas","",3.16,12.9676,0.003214,172.31,239.11,11,"Scheele",1774,0.479,"[Ne] 3s2 3p5",3,17
18,"Ar","Argon",39.948,1.06,1.88,NA,"#80D1E3",0.5,0.82,0.89,3,18,"Noble Gas","gas","",NA,15.7596,0.0017837,83.96,87.3,8,"Rayleigh and Ramsay",1894,0.52,"[Ne] 3s2 3p6",3,18
19,"K","Potassium",39.0983,2.03,2.75,1.4,"#8F40D4",0.56,0.25,0.83,4,1,"Alkali Metal","solid","bcc",0.82,4.3407,0.862,336.5,1032,10,"Davy",1807,0.757,"[Ar] 4s1",4,1
20,"Ca","Calcium",40.078,1.76,2.31,0.99,"#3DFF00",0.24,1,0,4,2,"Alkaline Earth Metal","solid","fcc",1,6.1132,1.54,1112.15,1757,14,"Davy",1808,0.647,"[Ar] 4s2",4,2
21,"Sc","Scandium",44.95591,1.7,2.3,0.75,"#E6E6E6",0.9,0.9,0.9,4,3,"Transition Metal","solid","hex",1.36,6.5615,2.989,1812.15,3109,15,"Nilson",1878,0.568,"[Ar] 3d1 4s2",4,3
22,"Ti","Titanium",47.867,1.6,2.15,0.61,"#BFC2C7",0.75,0.76,0.78,4,4,"Transition Metal","solid","hex",1.54,6.8281,4.54,1933.15,3560,9,"Gregor",1791,0.523,"[Ar] 3d2 4s2",4,4
23,"V","Vanadium",50.9415,1.53,2.05,0.59,"#A6A6AB",0.65,0.65,0.67,4,5,"Transition Metal","solid","bcc",1.63,6.7462,6.11,2175.15,3680,9,"   del Rio",1801,0.489,"[Ar] 3d3 4s2",4,5
24,"Cr","Chromium",51.9961,1.39,2.05,0.52,"#8A99C7",0.54,0.6,0.78,4,6,"Transition Metal","solid","bcc",1.66,6.7665,7.15,2130.15,2944,9,"Vauquelin",1797,0.449,"[Ar] 3d5 4s1",4,6
25,"Mn","Manganese",54.938049,1.39,2.05,0.46,"#9C7AC7",0.61,0.48,0.78,4,7,"Transition Metal","solid","bcc",1.55,7.434,7.44,1519.15,2334,11,"Gahn, Scheele",1774,0.479,"[Ar] 3d5 4s2",4,7
26,"Fe","Iron",55.845,1.32,2.05,0.65,"#E06633",0.88,0.4,0.2,4,8,"Transition Metal","solid","bcc",1.83,7.9024,7.874,1808.15,3134,10,"Prehistoric",NA,0.449,"[Ar] 3d6 4s2",4,8
27,"Co","Cobalt",58.9332,1.26,2,0.75,"#F08FA1",0.94,0.56,0.63,4,9,"Transition Metal","solid","hex",1.88,7.881,8.86,1768.15,3200,14,"Brandt",1735,0.421,"[Ar] 3d7 4s2",4,9
28,"Ni","Nickel",58.6934,1.24,2,0.69,"#4FD14F",0.31,0.82,0.31,4,10,"Transition Metal","solid","fcc",1.91,7.6398,8.912,1726.15,3186,11,"Cronstedt",1751,0.444,"[Ar] 3d8 4s2",4,10
29,"Cu","Copper",63.546,1.32,2,0.73,"#C78033",0.78,0.5,0.2,4,11,"Transition Metal","solid","fcc",1.9,7.7264,8.96,1357.75,2835,11,"Prehistoric",NA,0.385,"[Ar] 3d10 4s1",4,11
30,"Zn","Zinc",65.38,1.22,2.1,0.74,"#7D80B0",0.49,0.5,0.69,4,12,"Transition Metal","solid","hex",1.65,9.3942,7.134,692.88,1180,15,"Prehistoric",NA,0.388,"[Ar] 3d10 4s2",4,12
31,"Ga","Gallium",69.723,1.22,1.87,0.62,"#C28F8F",0.76,0.56,0.56,4,13,"Metal","solid","orth",1.81,5.9993,5.907,302.91,2477,14,"de Boisbaudran",1875,0.371,"[Ar] 3d10 4s2 4p1",4,13
32,"Ge","Germanium",72.64,1.2,2.11,0.53,"#668F8F",0.4,0.56,0.56,4,14,"Metalloid","solid","fcc",2.01,7.8994,5.323,1211.45,3106,17,"Winkler",1886,0.32,"[Ar] 3d10 4s2 4p2",4,14
